film_name,PC0,PC1,PC2,PC3,PC4
castle_in_the_sky,-0.006852010170968244,-0.011115342676086331,-0.01739746718013969,0.05852332969669085,0.00206890753519578
grave_of_the_fireflies,-0.005770375133332346,-0.008333885311326256,-0.00917874515473923,-0.007775954236186278,0.0018782707200575162
howls_moving_castle,-0.010101698339652875,-0.02017448098120754,0.0723195783870313,0.0076764710380688335,-0.015223834409535245
kikis_delivery_service,-0.005265978737498646,-0.00824956195284346,-0.006775660021926029,-0.004504288494926206,9.186264234616116e-06
my_neighbor_totoro,-0.036594036430922246,0.09785862040672931,0.0064320142969431235,0.0012609146876579088,-0.0001585473846952119
nausicaa,-0.0062335567329850515,-0.00971264396226723,-0.01163262882928469,-0.006046557422992521,-0.01552324480700599
only_yesterday,-0.005082034931369889,-0.007742338240932855,-0.006857120117326189,-0.004288252639641764,0.00046607547434886947
pom_poko,-0.005809255052989922,-0.009393997225380835,-0.009236150340768166,-0.009034652579070651,0.0030173981896377726
ponyo,0.11136450713069604,0.024815324615125728,0.0044466286686004755,0.001039442608487188,-0.00011944745739897146
porco_rosso,-0.005328610871027115,-0.007813618222950396,-0.008175149448889144,-0.002218272729722243,0.00018283276542486684
princess_kaguya,-0.0062823464118316906,-0.010365216598846655,-0.012304440625434595,-0.015100624238771922,-0.02405006455775585
princess_mononoke,-0.005371779132996038,-0.008566471064810774,-0.008127119197140795,-0.00527920573040468,-0.0013130130526922273
spirited_away,-0.007294748162563374,-0.012898002524911193,0.014492809297387249,-0.008701175307648037,0.04851967670796382
the_wind_rises,-0.0053780770225586635,-0.008308386260291753,-0.008006549734313782,-0.005551174651540486,0.00024580401222026925
